Subject,Start Date,Start Time,End Date,End Time,Description,Location
DAT202/Forel/01,2015-02-18,10:15,2015-02-18,12:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 041 auditorium (80)
MA-155/Forel/02/Stat - Streaming,2015-02-18,12:15,2015-02-18,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-02-18,14:15,2015-02-18,16:00,Nyberg Svein O.,CG-A2 046 klasserom, CG-A2 047 klasserom
DAT219/Forel/02 uke 2-11,2015-02-19,10:15,2015-02-19,12:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/02 uke 2-19,2015-02-19,12:15,2015-02-19,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/Forel/01 uke 2-11,2015-02-23,12:15,2015-02-23,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/01 uke 2-19,2015-02-23,14:15,2015-02-23,16:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT202/labøv/01,2015-02-24,08:15,2015-02-24,12:00,Snaprud Mikael, Øysæd Hallvard,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/01/Stat - Streaming,2015-02-24,12:15,2015-02-24,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
DAT202/Forel/02,2015-02-24,14:15,2015-02-24,16:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 040 auditorium (80)
DAT202/Forel/01,2015-02-25,10:15,2015-02-25,12:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 041 auditorium (80)
MA-155/Forel/02/Stat - Streaming,2015-02-25,12:15,2015-02-25,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-02-25,14:15,2015-02-25,16:00,Nyberg Svein O.,CG-A2 046 klasserom, CG-A2 047 klasserom
DAT219/Forel/02 uke 2-11,2015-02-26,10:15,2015-02-26,12:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/02 uke 2-19,2015-02-26,12:15,2015-02-26,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/Øv/01/Økonomi,2015-02-27,14:15,2015-02-27,16:00,Aas-Laland Yvonne Kathrine,CG-C2 036 auditorium (300), CG-C4 055 auditorium (60)
DAT219/Forel/01 uke 2-11,2015-03-02,12:15,2015-03-02,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/01 uke 2-19,2015-03-02,14:15,2015-03-02,16:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT202/labøv/01,2015-03-03,08:15,2015-03-03,12:00,Snaprud Mikael, Øysæd Hallvard,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/01/Stat - Streaming,2015-03-03,12:15,2015-03-03,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
DAT202/Forel/02,2015-03-03,14:15,2015-03-03,16:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 040 auditorium (80)
DAT202/Forel/01,2015-03-04,10:15,2015-03-04,12:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 041 auditorium (80)
MA-155/Forel/02/Stat - Streaming,2015-03-04,12:15,2015-03-04,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-03-04,14:15,2015-03-04,16:00,Nyberg Svein O.,CG-A2 046 klasserom, CG-A2 047 klasserom
DAT219/Forel/02 uke 2-11,2015-03-05,10:15,2015-03-05,12:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/02 uke 2-19,2015-03-05,12:15,2015-03-05,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/Øv/01/Økonomi,2015-03-06,14:15,2015-03-06,16:00,Aas-Laland Yvonne Kathrine,CG-C2 036 auditorium (300), CG-C4 055 auditorium (60)
DAT219/Forel/01 uke 2-11,2015-03-09,12:15,2015-03-09,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/01 uke 2-19,2015-03-09,14:15,2015-03-09,16:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT202/labøv/01,2015-03-10,08:15,2015-03-10,12:00,Snaprud Mikael, Øysæd Hallvard,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/01/Stat - Streaming,2015-03-10,12:15,2015-03-10,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
DAT202/Forel/02,2015-03-10,14:15,2015-03-10,16:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 040 auditorium (80)
DAT202/Forel/01,2015-03-11,10:15,2015-03-11,12:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 041 auditorium (80)
MA-155/Forel/02/Stat - Streaming,2015-03-11,12:15,2015-03-11,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-03-11,14:15,2015-03-11,16:00,Nyberg Svein O.,CG-A2 046 klasserom, CG-A2 047 klasserom
DAT219/Forel/02 uke 2-11,2015-03-12,10:15,2015-03-12,12:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/02 uke 2-19,2015-03-12,12:15,2015-03-12,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/Øv/01/Økonomi,2015-03-13,14:15,2015-03-13,16:00,Aas-Laland Yvonne Kathrine,CG-C2 036 auditorium (300), CG-C4 055 auditorium (60)
DAT219/labøv/03 uke 12-19,2015-03-16,12:15,2015-03-16,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/01 uke 2-19,2015-03-16,14:15,2015-03-16,16:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT202/labøv/01,2015-03-17,08:15,2015-03-17,12:00,Snaprud Mikael, Øysæd Hallvard,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/01/Stat - Streaming,2015-03-17,12:15,2015-03-17,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
